Channel Title,Channel ID,View Count,Subscribers,Total Videos,Country,Started Date,Category
Quatsch Comedy Club,UC94wFyzOpaxrwtkoRe1FVfw,32812936,39500,583,Germany,2016-12-21,Comedy
The Comedy and Custody Podcast,UCbkM0T8O6iMvSXbvuLrX3pg,6895,25,25,N/A,Unknown,Comedy
COMEDY SHAKEEL 1107,UCXpcddu5DBUTzpu6La1Qa8w,4976,23,16,N/A,Unknown,Comedy
Jeff Allen Comedy,UCg02sGjSTtGdLus9nGOOJUg,13318212,53100,509,United States,2007-12-14,Comedy
Sakina Comedy,UCpdoGG_HWx9VQyItvwsYMug,12866489,52800,22,India,Unknown,Comedy
Adobe for Education,UCEgdeceOHkMqiGFiSGoNZEQ,11169035,39200,1249,United States,2013-07-11,Education
DP Education - IELTS,UCkTcRd7oWWTbDBKFwIaSX0Q,6027734,160000,633,Sri Lanka,Unknown,Education
tekman Education,UCFWkJfDcViRpQVaXRj1h8Rg,3831682,43200,334,Spain,2011-02-14,Education
The Dublin Academy of Education,UCYX8SwIoZ7Mjizw1_eQ6kUA,1620234,12200,465,Ireland,2018-01-17,Education
Malmesbury Education,UC-TM-z1-tmX1iK_H4SxVhww,7919117,49500,72,United Kingdom,2016-07-21,Education
Virginia Department of Education,UCrbxl9wHScrWKWIEoUWNIfQ,575077,7290,461,N/A,2016-02-24,Education
Education Endowment Foundation,UC5-jDNhzw1ySqP42gCv23IQ,665636,4100,185,United Kingdom,2014-10-22,Education
instyn education,UCnur2E-ASjZp8rHy7Pp8idA,23037531,148000,1099,India,2017-06-22,Education
Panorama Education,UClpz8CxhcmNG7YnFdl6PiQQ,27584,610,26,United States,2016-12-01,Education
Education Week,UCL-yKZ_kCuKBHyeRfePpvuw,16664404,43100,1340,United States,2008-01-15,Education
Crimson Education,UC_f7C43GUWhif5_yPsamdfA,30026677,229000,1549,United States,2013-08-13,Education
PROFI EDUCATION,UCEOvmKMWMs9xWepADgOHIDw,12448479,164000,580,Kazakhstan,2017-08-02,Education
Cambridge International Education,UCxaQggOi7gKRK-osXih5zcA,2834953,44800,474,United Kingdom,2013-03-25,Education
Oklahoma State Department of Education,UC9t9YLscAVJe6xVtZlE-Ktg,685487,3670,1057,United States,2015-08-05,Education
VideoTutoriales Education,UCSCm-WAc3eFhitDciUqLF5Q,9922319,48100,280,Spain,2014-04-20,Education
Teachings in Education,UCB-hXAnF8U_KMAgtAUUC7Aw,25039727,265000,424,United States,2014-11-18,Education
Branch Education,UCdp4_l1vPmpN-gDbUwhaRUQ,91419653,2380000,46,United States,2018-05-14,Education
Uplift Education,UCH2ViG3HABnAV0ypHovvR1w,2589767,9910,492,United States,2014-11-04,Education
DP Education - Science,UCSL3Jd1qtL3RkeKCpbhOspg,35769631,360000,2238,Sri Lanka,Unknown,Education
LEGO Education,UC2RjB15PI3IsXCDifNGTG9w,10496824,36300,207,N/A,2009-09-04,Education
MGAT Education,UCLhQeJaqek2ebP4aTG45Ibw,286978,1130,268,United States,2018-04-09,Education
